orig_strain	virus	subgenogroup	accession	seq-len	date	age	sex	host	genbank-host	country	region	moltype	strain
WTic	Severe acute respiratory syndrome-related coronavirus		JF292921	29646	2009-03-18			NA	NA	USA	north_america	genomic RNA	WTic__JF292921
wtic-MB	Severe acute respiratory syndrome-related coronavirus		FJ882927	29687	2007-09-26			NA	NA	USA	north_america	genomic RNA	wtic-MB__FJ882927
wtic-MB	Severe acute respiratory syndrome-related coronavirus		FJ882932	29646	2008-03-28			NA	NA	USA	north_america	genomic RNA	wtic-MB__FJ882932
wtic-MB	Severe acute respiratory syndrome-related coronavirus		FJ882933	29648	2008-03-28			NA	NA	USA	north_america	genomic RNA	wtic-MB__FJ882933
wtic-MB	Severe acute respiratory syndrome-related coronavirus		FJ882934	29647	2008-03-28			NA	NA	USA	north_america	genomic RNA	wtic-MB__FJ882934
wtic-MB	Severe acute respiratory syndrome-related coronavirus		FJ882935	29647	2008-03-28			NA	NA	USA	north_america	genomic RNA	wtic-MB__FJ882935
wtic-MB	Severe acute respiratory syndrome-related coronavirus		FJ882936	29646	2008-03-28			NA	NA	USA	north_america	genomic RNA	wtic-MB__FJ882936
wtic-MB	Severe acute respiratory syndrome-related coronavirus		FJ882937	29648	2008-03-28			NA	NA	USA	north_america	genomic RNA	wtic-MB__FJ882937
wtic-MB	Severe acute respiratory syndrome-related coronavirus		FJ882938	29687	2007-09-22			NA	NA	USA	north_america	genomic RNA	wtic-MB__FJ882938
wtic-MB	Severe acute respiratory syndrome-related coronavirus		FJ882939	29646	2008-03-28			NA	NA	USA	north_america	genomic RNA	wtic-MB__FJ882939
wtic-MB	Severe acute respiratory syndrome-related coronavirus		FJ882946	29647	2008-03-28			NA	NA	USA	north_america	genomic RNA	wtic-MB__FJ882946
wtic-MB	Severe acute respiratory syndrome-related coronavirus		FJ882947	29616	2008-03-28			NA	NA	USA	north_america	genomic RNA	wtic-MB__FJ882947
wtic-MB	Severe acute respiratory syndrome-related coronavirus		FJ882949	29647	2008-03-28			NA	NA	USA	north_america	genomic RNA	wtic-MB__FJ882949
BtKY72	Severe acute respiratory syndrome-related coronavirus		KY352407	29274	2007-08-XX			Bat	Rhinolophus sp. (bat)	Kenya	africa	genomic RNA	BtKY72__KY352407
Tor2	Severe acute respiratory syndrome-related coronavirus		AY274119	29751	20XX-XX-XX			Human	Homo sapiens; patient #2 with severe acute respiratory syndrome (SARS)	Canada	north_america	genomic RNA	Tor2__AY274119
